日期,日活跃用户量,日新增用户量,设备活跃,当月账号登陆人数(月活去重)
2020-03-01,5919,346,5977,35192
2020-03-02,5414,311,5465
2020-03-03,5362,355,5439
2020-03-04,5275,334,5329
2020-03-05,5275,398,5316
2020-03-06,5051,416,5103
2020-03-07,5106,380,5151
2020-03-08,4470,311,4502
2020-03-09,4864,368,4909
2020-03-10,5421,443,5478
2020-03-11,6075,439,6139
2020-03-12,6696,491,6758
2020-03-13,7527,518,7601
2020-03-14,8817,514,8889
2020-03-15,8394,364,8456
2020-03-16,9569,506,9676
2020-03-17,9121,530,9228
2020-03-18,8726,472,8832
2020-03-19,9215,479,9309
2020-03-20,9127,516,9194
2020-03-21,8264,416,8309
2020-03-22,7804,351,7842
2020-03-23,8295,465,8355
2020-03-24,8090,487,8165
2020-03-25,7771,437,7842
2020-03-26,7354,336,7438
2020-03-27,8188,354,8261
2020-03-28,6837,300,6874
2020-03-29,6203,228,6238
2020-03-30,7867,378,7926
2020-03-31,7750,523,7807
