日期,日活跃用户量,日新增用户量,设备活跃,当月账号登陆人数(月活去重)
2020-04-01,8080,529,8143,35272
2020-04-02,6915,469,6963
2020-04-03,6630,409,6673
2020-04-04,7922,313,7965
2020-04-05,5756,247,5783
2020-04-06,5576,346,5606
2020-04-07,6150,405,6193
2020-04-08,7173,393,7238
2020-04-10,6785,383,6855
2020-04-11,5871,333,5907
2020-04-12,5643,335,5678
2020-04-13,5115,419,5161
2020-04-14,4919,353,4967
2020-04-15,5195,301,5227
2020-04-16,4507,379,4537
2020-04-17,4437,393,4462
2020-04-18,4169,342,4203
2020-04-19,3845,252,3886
2020-04-20,4889,325,4928
2020-04-21,4282,324,4341
2020-04-22,4069,289,4105
2020-04-23,4988,318,5012
2020-04-24,4101,263,4126
2020-04-25,3662,284,3702
2020-04-26,3666,236,3702
2020-04-27,3538,228,3567
2020-04-28,4026,258,4056
2020-04-29,4044,275,4069
2020-04-30,4042,294,4074
