日期,日活跃用户量,日新增用户量
2019/11/1,4652,682
2019/11/2,1967,355
2019/11/3,1645,295
2019/11/4,1556,344
2019/11/5,3247,363
2019/11/6,3002,341
2019/11/7,2864,419
2019/11/8,2924,367
2019/11/9,2345,371
2019/11/10,1332,243
2019/11/11,2672,282
2019/11/12,1239,228
2019/11/13,2256,257
2019/11/14,2622,322
2019/11/15,2656,474
2019/11/16,1322,204
2019/11/17,1565,175
2019/11/18,3972,243
2019/11/19,1140,226
2019/11/20,2883,269
2019/11/21,4133,284
2019/11/22,7412,445
2019/11/24,3172,212
2019/11/25,3357,466
2019/11/26,4824,281
2019/11/27,4004,285
2019/11/28,3872,244
2019/11/29,3679,301
2019/11/30,2403,282
