日期,日活跃用户量,日新增用户量,设备活跃,当月账号登陆人数(月活去重)
2020-06-01,5574,473,5647,31806
2020-06-02,5697,417,5778
2020-06-03,5037,346,5095
2020-06-04,3793,330,3843
2020-06-05,3085,257,3107
2020-06-06,2541,329,2560
2020-06-07,2426,259,2452
2020-06-08,3389,367,3430
2020-06-09,3253,290,3287
2020-06-10,4015,395,4066
2020-06-11,3552,338,3595
2020-06-12,3075,361,3100
2020-06-13,2578,313,2590
2020-06-14,2222,223,2234
2020-06-15,3430,307,3463
2020-06-16,3221,333,3258
2020-06-17,2838,295,2869
2020-06-18,3463,354,3503
2020-06-19,3540,369,3610
2020-06-20,2653,271,2684
2020-06-21,2343,278,2372
2020-06-22,3214,354,3267
2020-06-23,4237,337,4304
2020-06-24,3159,275,3202
2020-06-25,2759,196,2781
2020-06-26,2234,244,2270
2020-06-27,2359,323,2403
2020-06-28,2696,345,2752
2020-06-29,2800,310,2862
2020-06-30,3571,526,3670
