日期,日活跃用户量,日新增用户量,设备活跃,当月账号登陆人数(月活去重)
2020-01-01,1771,150,1779,16021
2020-01-02,1915,208,1924
2020-01-03,3686,213,3698
2020-01-04,1567,194,1573
2020-01-05,1419,144,1430
2020-01-06,2054,172,2064
2020-01-07,1531,116,1537
2020-01-08,1448,155,1454
2020-01-09,1484,139,1490
2020-01-10,1389,137,1393
2020-01-11,1371,146,1375
2020-01-12,1154,87,1155
2020-01-13,1306,124,1317
2020-01-14,1343,129,1354
2020-01-15,1383,103,1389
2020-01-16,1362,100,1366
2020-01-17,1391,122,1394
2020-01-18,1289,99,1289
2020-01-18,1289,99,1289
2020-01-19,1448,88,1457
2020-01-19,1448,88,1457
2020-01-20,2516,99,2520
2020-01-21,1385,71,1388
2020-01-22,1383,57,1385
2020-01-23,974,35,974
2020-01-24,813,15,813
2020-01-25,693,8,693
2020-01-26,634,3,634
2020-01-27,618,12,618
2020-01-28,595,17,596
2020-01-29,589,22,590
2020-01-30,607,33,608
2020-01-31,688,56,688
